sales_person,country,product,date,boxes_shipped,amount,currency,mid_rate,total_amount_th
Husein Augar,India,Peanut Butter Cubes,2022-05-09,5,4522.0,INR,0.3442,1556.4724
Andria Kimpton,Australia,Baker's Choco Chips,2022-08-09,109,329.0,AUD,21.2763,6999.9027
Madelene Upcott,Canada,Choco Coated Almonds,2022-07-20,294,3458.0,CAD,22.5593,78010.0594
Brien Boise,India,70% Dark Bites,2022-04-14,413,4641.0,INR,0.3442,1597.4322
Jehu Rudeforth,Canada,White Choc,2022-01-25,136,4627.0,CAD,22.5593,104381.8811
Andria Kimpton,Australia,Almond Choco,2022-04-25,175,3192.0,AUD,21.2763,67913.94959999999
Dotty Strutley,Canada,After Nines,2022-01-17,237,252.0,CAD,22.5593,5684.9436000000005
Karlen McCaffrey,USA,Eclairs,2022-08-15,125,868.0,USD,31.1547,27042.279599999998
Karlen McCaffrey,Canada,Fruit & Nut Bars,2022-06-02,16,210.0,CAD,22.5593,4737.453
Gunar Cockshoot,USA,85% Dark Bars,2022-06-30,135,7007.0,USD,31.1547,218300.98289999997
Dotty Strutley,New Zealand,Raspberry Choco,2022-02-10,91,5845.0,AUD,21.2763,124359.9735
Marney O'Breen,Canada,Caramel Stuffed Bars,2022-02-23,614,1372.0,CAD,22.5593,30951.3596
Dennison Crosswaite,India,Organic Choco Syrup,2022-01-27,216,8428.0,INR,0.3442,2900.9176
Camilla Castle,UK,Mint Chip Choco,2022-05-26,317,4977.0,GBP,42.0265,209165.89049999998
Brien Boise,USA,70% Dark Bites,2022-04-14,21,1694.0,USD,31.1547,52776.061799999996
Madelene Upcott,Australia,99% Dark & Pure,2022-08-01,154,4326.0,AUD,21.2763,92041.2738
Mallorie Waber,Australia,Eclairs,2022-08-22,222,9527.0,AUD,21.2763,202699.3101
Marney O'Breen,India,99% Dark & Pure,2022-07-22,157,10766.0,INR,0.3442,3705.6572
Husein Augar,USA,Fruit & Nut Bars,2022-04-28,27,1288.0,USD,31.1547,40127.2536
Kelci Walkden,Australia,Almond Choco,2022-05-30,350,4879.0,AUD,21.2763,103807.0677
Ches Bonnell,USA,Milk Bars,2022-07-21,157,2408.0,USD,31.1547,75020.51759999999
Jan Morforth,UK,Caramel Stuffed Bars,2022-08-02,468,3094.0,GBP,42.0265,130029.991
Brien Boise,New Zealand,70% Dark Bites,2022-06-15,130,7231.0,AUD,21.2763,153848.9253
Oby Sorrel,India,85% Dark Bars,2022-07-05,130,8981.0,INR,0.3442,3091.2602
Kaine Padly,New Zealand,Smooth Sliky Salty,2022-04-12,518,7.0,AUD,21.2763,148.9341
Gigi Bohling,Australia,70% Dark Bites,2022-08-18,105,1372.0,AUD,21.2763,29191.083599999998
Jan Morforth,UK,50% Dark Bites,2022-01-12,293,5250.0,GBP,42.0265,220639.125
Gunar Cockshoot,Canada,White Choc,2022-08-11,15,7560.0,CAD,22.5593,170548.308
Jehu Rudeforth,Australia,Spicy Special Slims,2022-01-13,384,5012.0,AUD,21.2763,106636.8156
Husein Augar,UK,Baker's Choco Chips,2022-04-29,135,3038.0,GBP,42.0265,127676.507
Rafaelita Blaksland,New Zealand,After Nines,2022-07-07,92,1099.0,AUD,21.2763,23382.6537
Madelene Upcott,New Zealand,Mint Chip Choco,2022-03-11,4,7413.0,AUD,21.2763,157721.2119
Madelene Upcott,UK,70% Dark Bites,2022-02-16,239,5397.0,GBP,42.0265,226817.02049999998
Barr Faughny,Australia,Organic Choco Syrup,2022-01-07,33,2303.0,AUD,21.2763,48999.3189
Beverie Moffet,New Zealand,Drinking Coco,2022-01-12,518,1141.0,AUD,21.2763,24276.258299999998
Beverie Moffet,India,Eclairs,2022-06-09,147,10325.0,INR,0.3442,3553.8650000000002
Andria Kimpton,India,Eclairs,2022-05-16,84,2149.0,INR,0.3442,739.6858
Gigi Bohling,UK,85% Dark Bars,2022-06-23,94,12362.0,GBP,42.0265,519531.593
Roddy Speechley,UK,Raspberry Choco,2022-01-28,194,12635.0,GBP,42.0265,531004.8275
Dotty Strutley,UK,Mint Chip Choco,2022-07-14,216,2443.0,GBP,42.0265,102670.7395
Barr Faughny,Canada,Drinking Coco,2022-04-18,247,6237.0,CAD,22.5593,140702.3541
Oby Sorrel,USA,Milk Bars,2022-06-14,79,1736.0,USD,31.1547,54084.559199999996
Oby Sorrel,UK,Orange Choco,2022-04-15,237,7315.0,GBP,42.0265,307423.8475
Curtice Advani,Canada,Peanut Butter Cubes,2022-05-19,63,4935.0,CAD,22.5593,111330.1455
Gigi Bohling,India,White Choc,2022-04-13,172,1393.0,INR,0.3442,479.4706
Husein Augar,Canada,Choco Coated Almonds,2022-08-15,408,3381.0,CAD,22.5593,76272.9933
Wilone O'Kielt,India,Choco Coated Almonds,2022-08-22,233,2933.0,INR,0.3442,1009.5386
Wilone O'Kielt,New Zealand,Baker's Choco Chips,2022-04-22,59,3836.0,AUD,21.2763,81615.8868
Kaine Padly,UK,Choco Coated Almonds,2022-08-03,123,8022.0,GBP,42.0265,337136.583
Dennison Crosswaite,New Zealand,Organic Choco Syrup,2022-01-04,229,371.0,AUD,21.2763,7893.507299999999
Kelci Walkden,Canada,After Nines,2022-01-13,198,16702.0,CAD,22.5593,376785.4286
Van Tuxwell,Australia,Baker's Choco Chips,2022-05-11,32,13258.0,AUD,21.2763,282081.1854
Husein Augar,New Zealand,Peanut Butter Cubes,2022-02-16,236,2058.0,AUD,21.2763,43786.6254
Kaine Padly,UK,Caramel Stuffed Bars,2022-05-20,67,10192.0,GBP,42.0265,428334.088
Jehu Rudeforth,UK,Drinking Coco,2022-02-03,438,7140.0,GBP,42.0265,300069.20999999996
Beverie Moffet,India,Manuka Honey Choco,2022-05-06,167,9835.0,INR,0.3442,3385.207
Gunar Cockshoot,UK,Choco Coated Almonds,2022-06-30,135,5775.0,GBP,42.0265,242703.0375
Gunar Cockshoot,UK,Smooth Sliky Salty,2022-03-22,148,749.0,GBP,42.0265,31477.8485
Camilla Castle,Canada,Orange Choco,2022-02-17,54,7770.0,CAD,22.5593,175285.761
Jehu Rudeforth,UK,85% Dark Bars,2022-07-07,64,5502.0,GBP,42.0265,231229.80299999999
Oby Sorrel,UK,70% Dark Bites,2022-03-16,181,6223.0,GBP,42.0265,261530.90949999998
Kelci Walkden,UK,99% Dark & Pure,2022-08-12,114,3507.0,GBP,42.0265,147386.9355
Gigi Bohling,New Zealand,After Nines,2022-01-21,181,5600.0,AUD,21.2763,119147.28
Oby Sorrel,Australia,50% Dark Bites,2022-05-06,151,721.0,AUD,21.2763,15340.2123
Oby Sorrel,Canada,50% Dark Bites,2022-06-24,137,6615.0,CAD,22.5593,149229.7695
Barr Faughny,USA,White Choc,2022-05-05,163,7420.0,USD,31.1547,231167.87399999998
Rafaelita Blaksland,New Zealand,99% Dark & Pure,2022-03-25,84,3164.0,AUD,21.2763,67318.2132
Curtice Advani,Australia,Caramel Stuffed Bars,2022-02-14,140,9114.0,AUD,21.2763,193912.19819999998
Curtice Advani,New Zealand,85% Dark Bars,2022-05-12,187,5404.0,AUD,21.2763,114977.1252
Barr Faughny,New Zealand,Smooth Sliky Salty,2022-01-25,169,3990.0,AUD,21.2763,84892.43699999999
Ches Bonnell,UK,85% Dark Bars,2022-06-28,12,14924.0,GBP,42.0265,627203.486
Dennison Crosswaite,Australia,Drinking Coco,2022-07-13,194,7091.0,AUD,21.2763,150870.2433
Roddy Speechley,USA,Milk Bars,2022-05-16,252,2807.0,USD,31.1547,87451.2429
Jan Morforth,India,After Nines,2022-03-14,168,6496.0,INR,0.3442,2235.9232
Gunar Cockshoot,USA,After Nines,2022-08-15,261,3738.0,USD,31.1547,116456.2686
Ches Bonnell,India,Orange Choco,2022-02-16,256,1190.0,INR,0.3442,409.598
Mallorie Waber,UK,Manuka Honey Choco,2022-06-15,43,8379.0,GBP,42.0265,352140.04349999997
Barr Faughny,Australia,Raspberry Choco,2022-05-27,100,9268.0,AUD,21.2763,197188.74839999998
Wilone O'Kielt,USA,Drinking Coco,2022-06-14,98,1029.0,USD,31.1547,32058.186299999998
Wilone O'Kielt,India,Eclairs,2022-02-25,76,3549.0,INR,0.3442,1221.5658
Wilone O'Kielt,India,After Nines,2022-08-04,262,12026.0,INR,0.3442,4139.3492
Kelci Walkden,India,99% Dark & Pure,2022-06-28,244,2303.0,INR,0.3442,792.6926
Gunar Cockshoot,Canada,Spicy Special Slims,2022-04-05,12,13405.0,CAD,22.5593,302407.4165
Madelene Upcott,Canada,Peanut Butter Cubes,2022-07-05,113,14763.0,CAD,22.5593,333042.9459
Kaine Padly,New Zealand,Eclairs,2022-01-20,48,12894.0,AUD,21.2763,274336.6122
Ches Bonnell,New Zealand,Drinking Coco,2022-02-16,131,8302.0,AUD,21.2763,176635.8426
Curtice Advani,UK,Drinking Coco,2022-07-12,174,455.0,GBP,42.0265,19122.0575
Kelci Walkden,India,Raspberry Choco,2022-06-16,254,8183.0,INR,0.3442,2816.5886
Dotty Strutley,Australia,Choco Coated Almonds,2022-04-13,284,1645.0,AUD,21.2763,34999.5135
Kaine Padly,UK,50% Dark Bites,2022-02-21,67,3143.0,GBP,42.0265,132089.28949999998
Roddy Speechley,Canada,Choco Coated Almonds,2022-05-11,249,5873.0,CAD,22.5593,132490.7689
Ches Bonnell,India,50% Dark Bites,2022-04-15,313,11298.0,INR,0.3442,3888.7716
Oby Sorrel,Canada,Peanut Butter Cubes,2022-06-07,167,12425.0,CAD,22.5593,280299.3025
Oby Sorrel,UK,White Choc,2022-06-27,286,1715.0,GBP,42.0265,72075.4475
Barr Faughny,India,After Nines,2022-07-29,109,8190.0,INR,0.3442,2818.998
Wilone O'Kielt,Canada,Smooth Sliky Salty,2022-06-02,166,4991.0,CAD,22.5593,112593.4663
Rafaelita Blaksland,India,Mint Chip Choco,2022-01-26,85,15491.0,INR,0.3442,5332.0022
Rafaelita Blaksland,Canada,99% Dark & Pure,2022-03-02,142,5096.0,CAD,22.5593,114962.1928
Van Tuxwell,Australia,70% Dark Bites,2022-01-10,104,7063.0,AUD,21.2763,150274.5069
Beverie Moffet,USA,70% Dark Bites,2022-06-27,115,2275.0,USD,31.1547,70876.94249999999
Barr Faughny,Canada,Orange Choco,2022-06-30,18,7602.0,CAD,22.5593,171495.7986
Roddy Speechley,Australia,85% Dark Bars,2022-07-08,80,4200.0,AUD,21.2763,89360.45999999999
Oby Sorrel,India,Spicy Special Slims,2022-06-08,88,11137.0,INR,0.3442,3833.3554
Jan Morforth,UK,Manuka Honey Choco,2022-08-18,212,3388.0,GBP,42.0265,142385.782
Kaine Padly,Australia,After Nines,2022-04-08,306,6832.0,AUD,21.2763,145359.68159999998
Wilone O'Kielt,Canada,Fruit & Nut Bars,2022-08-08,181,3437.0,CAD,22.5593,77536.3141
Wilone O'Kielt,UK,Milk Bars,2022-08-26,65,301.0,GBP,42.0265,12649.976499999999
Oby Sorrel,Canada,Fruit & Nut Bars,2022-01-14,158,1869.0,CAD,22.5593,42163.3317
Dennison Crosswaite,USA,Baker's Choco Chips,2022-08-11,271,17465.0,USD,31.1547,544116.8354999999
Madelene Upcott,USA,Almond Choco,2022-05-31,24,10143.0,USD,31.1547,316002.1221
Van Tuxwell,New Zealand,50% Dark Bites,2022-07-11,10,3626.0,AUD,21.2763,77147.86379999999
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2022-03-02,304,3346.0,CAD,22.5593,75483.4178
Madelene Upcott,Australia,Raspberry Choco,2022-07-13,88,6321.0,AUD,21.2763,134487.49229999998
Rafaelita Blaksland,UK,Spicy Special Slims,2022-08-03,133,9345.0,GBP,42.0265,392737.6425
Curtice Advani,UK,Peanut Butter Cubes,2022-03-01,165,15008.0,GBP,42.0265,630733.7119999999
Kelci Walkden,New Zealand,White Choc,2022-04-13,150,7609.0,AUD,21.2763,161891.36669999998
Beverie Moffet,Canada,Fruit & Nut Bars,2022-02-14,180,10332.0,CAD,22.5593,233082.6876
Mallorie Waber,India,White Choc,2022-07-26,213,819.0,INR,0.3442,281.8998
Brien Boise,UK,Drinking Coco,2022-01-27,133,5754.0,GBP,42.0265,241820.481
Jehu Rudeforth,India,Peanut Butter Cubes,2022-04-14,446,28.0,INR,0.3442,9.6376
Oby Sorrel,USA,Almond Choco,2022-05-19,141,6440.0,USD,31.1547,200636.26799999998
Husein Augar,India,Eclairs,2022-02-09,58,4956.0,INR,0.3442,1705.8552
Brien Boise,UK,Spicy Special Slims,2022-05-25,58,2352.0,GBP,42.0265,98846.328
Oby Sorrel,Australia,Manuka Honey Choco,2022-01-26,76,3906.0,AUD,21.2763,83105.2278
Beverie Moffet,India,White Choc,2022-07-04,296,1813.0,INR,0.3442,624.0346
Ches Bonnell,India,Almond Choco,2022-04-13,73,11788.0,INR,0.3442,4057.4296
Gigi Bohling,Australia,Smooth Sliky Salty,2022-01-25,119,5768.0,AUD,21.2763,122721.6984
Camilla Castle,USA,85% Dark Bars,2022-04-25,78,2401.0,USD,31.1547,74802.4347
Camilla Castle,USA,Eclairs,2022-06-10,392,4515.0,USD,31.1547,140663.4705
Madelene Upcott,New Zealand,White Choc,2022-08-22,51,10794.0,AUD,21.2763,229656.3822
Van Tuxwell,India,After Nines,2022-06-27,207,13706.0,INR,0.3442,4717.6052
Husein Augar,India,Orange Choco,2022-06-30,40,4361.0,INR,0.3442,1501.0562
Jehu Rudeforth,India,Almond Choco,2022-08-30,100,10122.0,INR,0.3442,3483.9924
Karlen McCaffrey,Australia,Raspberry Choco,2022-08-23,57,994.0,AUD,21.2763,21148.6422
Camilla Castle,New Zealand,99% Dark & Pure,2022-08-26,42,2268.0,AUD,21.2763,48254.6484
Gigi Bohling,Australia,Orange Choco,2022-03-09,156,574.0,AUD,21.2763,12212.5962
Kelci Walkden,UK,Drinking Coco,2022-04-20,23,1792.0,GBP,42.0265,75311.488
Mallorie Waber,Canada,Caramel Stuffed Bars,2022-06-10,539,4844.0,CAD,22.5593,109277.2492
Husein Augar,Australia,Organic Choco Syrup,2022-02-08,158,938.0,AUD,21.2763,19957.1694
Brien Boise,Australia,White Choc,2022-08-25,22,4879.0,AUD,21.2763,103807.0677
Dotty Strutley,India,Peanut Butter Cubes,2022-02-16,73,9107.0,INR,0.3442,3134.6294000000003
Dennison Crosswaite,UK,99% Dark & Pure,2022-05-30,27,12187.0,GBP,42.0265,512176.9555
Gigi Bohling,New Zealand,50% Dark Bites,2022-06-29,64,5670.0,AUD,21.2763,120636.621
Gigi Bohling,USA,Milk Bars,2022-06-16,133,476.0,USD,31.1547,14829.6372
Brien Boise,UK,Caramel Stuffed Bars,2022-03-04,149,2681.0,GBP,42.0265,112673.0465
Curtice Advani,New Zealand,Peanut Butter Cubes,2022-03-15,434,1533.0,AUD,21.2763,32616.5679
Curtice Advani,New Zealand,50% Dark Bites,2022-01-27,85,9765.0,AUD,21.2763,207763.06949999998
Beverie Moffet,Canada,Drinking Coco,2022-07-05,118,994.0,CAD,22.5593,22423.9442
Barr Faughny,USA,Caramel Stuffed Bars,2022-03-29,299,3318.0,USD,31.1547,103371.2946
Mallorie Waber,Canada,Almond Choco,2022-05-12,35,4214.0,CAD,22.5593,95064.8902
Oby Sorrel,USA,Drinking Coco,2022-03-11,44,7714.0,USD,31.1547,240327.3558
Brien Boise,New Zealand,Eclairs,2022-07-11,299,4690.0,AUD,21.2763,99785.847
Gunar Cockshoot,New Zealand,Choco Coated Almonds,2022-08-01,62,13062.0,AUD,21.2763,277911.0306
Gunar Cockshoot,UK,Spicy Special Slims,2022-02-16,200,12488.0,GBP,42.0265,524826.932
Curtice Advani,USA,After Nines,2022-04-13,235,14147.0,USD,31.1547,440745.54089999996
Oby Sorrel,India,Choco Coated Almonds,2022-02-14,363,49.0,INR,0.3442,16.8658
Ches Bonnell,Australia,Peanut Butter Cubes,2022-03-14,68,10199.0,AUD,21.2763,216996.98369999998
Oby Sorrel,Australia,Spicy Special Slims,2022-04-26,26,11389.0,AUD,21.2763,242315.7807
Jehu Rudeforth,Canada,Manuka Honey Choco,2022-04-05,200,3584.0,CAD,22.5593,80852.5312
Camilla Castle,Canada,Drinking Coco,2022-03-03,264,12481.0,CAD,22.5593,281562.6233
Kaine Padly,USA,Spicy Special Slims,2022-06-13,175,2107.0,USD,31.1547,65642.95289999999
Marney O'Breen,New Zealand,70% Dark Bites,2022-02-14,352,8603.0,AUD,21.2763,183040.0089
Roddy Speechley,New Zealand,99% Dark & Pure,2022-04-18,183,7483.0,AUD,21.2763,159210.55289999998
Oby Sorrel,New Zealand,85% Dark Bars,2022-02-01,417,3381.0,AUD,21.2763,71935.1703
Dotty Strutley,New Zealand,Orange Choco,2022-08-04,146,2030.0,AUD,21.2763,43190.888999999996
Andria Kimpton,New Zealand,Almond Choco,2022-04-05,158,6559.0,AUD,21.2763,139551.2517
Karlen McCaffrey,Australia,99% Dark & Pure,2022-01-26,168,10822.0,AUD,21.2763,230252.1186
Kaine Padly,UK,After Nines,2022-01-21,176,18697.0,GBP,42.0265,785769.4704999999
Kaine Padly,Canada,After Nines,2022-08-22,172,5845.0,CAD,22.5593,131859.1085
Kaine Padly,UK,Drinking Coco,2022-01-27,224,2317.0,GBP,42.0265,97375.4005
Rafaelita Blaksland,UK,50% Dark Bites,2022-02-16,68,10150.0,GBP,42.0265,426568.975
Dotty Strutley,USA,Raspberry Choco,2022-01-03,46,3437.0,USD,31.1547,107078.7039
Karlen McCaffrey,USA,White Choc,2022-08-24,2,4592.0,USD,31.1547,143062.3824
Oby Sorrel,USA,Spicy Special Slims,2022-02-07,417,5691.0,USD,31.1547,177301.3977
Mallorie Waber,Australia,Smooth Sliky Salty,2022-02-11,109,4158.0,AUD,21.2763,88466.8554
Kaine Padly,Canada,Organic Choco Syrup,2022-03-29,81,5684.0,CAD,22.5593,128227.0612
Marney O'Breen,USA,Peanut Butter Cubes,2022-06-15,350,693.0,USD,31.1547,21590.2071
Dennison Crosswaite,UK,Smooth Sliky Salty,2022-04-26,142,546.0,GBP,42.0265,22946.469
Brien Boise,Australia,Organic Choco Syrup,2022-07-15,264,4263.0,AUD,21.2763,90700.8669
Beverie Moffet,India,Organic Choco Syrup,2022-06-23,20,1036.0,INR,0.3442,356.5912
Dennison Crosswaite,Australia,Baker's Choco Chips,2022-01-11,421,13846.0,AUD,21.2763,294591.6498
Beverie Moffet,UK,50% Dark Bites,2022-02-09,271,2499.0,GBP,42.0265,105024.2235
Van Tuxwell,UK,Almond Choco,2022-06-06,204,10689.0,GBP,42.0265,449221.2585
Dotty Strutley,UK,Caramel Stuffed Bars,2022-08-10,235,5768.0,GBP,42.0265,242408.85199999998
Wilone O'Kielt,Australia,Smooth Sliky Salty,2022-01-04,46,2226.0,AUD,21.2763,47361.0438
Andria Kimpton,Canada,70% Dark Bites,2022-04-08,15,10262.0,CAD,22.5593,231503.5366
Barr Faughny,UK,Milk Bars,2022-03-02,430,3864.0,GBP,42.0265,162390.396
Van Tuxwell,Canada,Drinking Coco,2022-06-15,709,4900.0,CAD,22.5593,110540.57
Jehu Rudeforth,Australia,After Nines,2022-02-14,47,5250.0,AUD,21.2763,111700.575
Husein Augar,UK,After Nines,2022-07-05,380,3507.0,GBP,42.0265,147386.9355
Barr Faughny,India,Mint Chip Choco,2022-01-12,465,7413.0,INR,0.3442,2551.5546
Curtice Advani,India,Mint Chip Choco,2022-03-03,96,8155.0,INR,0.3442,2806.951
Jehu Rudeforth,New Zealand,Milk Bars,2022-05-18,188,2478.0,AUD,21.2763,52722.6714
Gunar Cockshoot,India,Caramel Stuffed Bars,2022-07-28,202,2471.0,INR,0.3442,850.5182
Curtice Advani,UK,Manuka Honey Choco,2022-02-07,106,1666.0,GBP,42.0265,70016.149
Andria Kimpton,India,Orange Choco,2022-05-30,421,301.0,INR,0.3442,103.6042
Mallorie Waber,Australia,Raspberry Choco,2022-04-25,27,8400.0,AUD,21.2763,178720.91999999998
Beverie Moffet,Canada,85% Dark Bars,2022-02-16,45,6139.0,CAD,22.5593,138491.5427
Kelci Walkden,Australia,Drinking Coco,2022-05-04,60,1288.0,AUD,21.2763,27403.8744
Van Tuxwell,Canada,70% Dark Bites,2022-06-02,77,7077.0,CAD,22.5593,159652.1661
Dennison Crosswaite,USA,Caramel Stuffed Bars,2022-07-11,464,2317.0,USD,31.1547,72185.4399
Beverie Moffet,New Zealand,Spicy Special Slims,2022-06-07,60,63.0,AUD,21.2763,1340.4069
Jan Morforth,UK,Almond Choco,2022-07-06,157,9744.0,GBP,42.0265,409506.216
Husein Augar,India,Raspberry Choco,2022-06-15,154,9954.0,INR,0.3442,3426.1668
Dotty Strutley,India,Mint Chip Choco,2022-04-14,239,1260.0,INR,0.3442,433.692
Camilla Castle,India,Drinking Coco,2022-08-08,163,469.0,INR,0.3442,161.4298
Marney O'Breen,UK,Drinking Coco,2022-03-29,28,973.0,GBP,42.0265,40891.7845
Roddy Speechley,Australia,Organic Choco Syrup,2022-07-04,76,3647.0,AUD,21.2763,77594.6661
Ches Bonnell,India,99% Dark & Pure,2022-02-16,96,455.0,INR,0.3442,156.611
Rafaelita Blaksland,Canada,Spicy Special Slims,2022-05-02,156,2520.0,CAD,22.5593,56849.436
Van Tuxwell,India,Eclairs,2022-07-21,106,10500.0,INR,0.3442,3614.1
Gunar Cockshoot,Australia,99% Dark & Pure,2022-08-18,235,7952.0,AUD,21.2763,169189.1376
Kaine Padly,USA,85% Dark Bars,2022-06-22,259,483.0,USD,31.1547,15047.720099999999
Camilla Castle,UK,Peanut Butter Cubes,2022-07-19,126,4872.0,GBP,42.0265,204753.108
Madelene Upcott,UK,Peanut Butter Cubes,2022-08-12,85,7756.0,GBP,42.0265,325957.534
Madelene Upcott,USA,Choco Coated Almonds,2022-06-07,132,5446.0,USD,31.1547,169668.4962
Marney O'Breen,Canada,Peanut Butter Cubes,2022-03-08,91,6594.0,CAD,22.5593,148756.0242
Ches Bonnell,Australia,Choco Coated Almonds,2022-04-08,167,1470.0,AUD,21.2763,31276.161
Curtice Advani,Canada,Eclairs,2022-05-06,203,721.0,CAD,22.5593,16265.2553
Roddy Speechley,India,Drinking Coco,2022-05-31,11,4494.0,INR,0.3442,1546.8348
Van Tuxwell,Australia,Mint Chip Choco,2022-01-13,295,2674.0,AUD,21.2763,56892.826199999996
Dennison Crosswaite,USA,70% Dark Bites,2022-03-15,77,658.0,USD,31.1547,20499.7926
Andria Kimpton,Canada,Peanut Butter Cubes,2022-02-16,319,1127.0,CAD,22.5593,25424.3311
Gigi Bohling,USA,70% Dark Bites,2022-01-14,196,7364.0,USD,31.1547,229423.2108
Rafaelita Blaksland,Australia,White Choc,2022-03-21,102,6818.0,AUD,21.2763,145061.81339999998
Roddy Speechley,Canada,Drinking Coco,2022-05-17,312,6776.0,CAD,22.5593,152861.8168
Camilla Castle,New Zealand,85% Dark Bars,2022-08-08,55,15099.0,AUD,21.2763,321250.8537
Madelene Upcott,Canada,Milk Bars,2022-04-26,82,3612.0,CAD,22.5593,81484.1916
Madelene Upcott,Australia,70% Dark Bites,2022-04-15,260,3710.0,AUD,21.2763,78935.07299999999
Oby Sorrel,Canada,Eclairs,2022-05-19,591,6111.0,CAD,22.5593,137859.8823
Dennison Crosswaite,Canada,Drinking Coco,2022-01-10,24,2702.0,CAD,22.5593,60955.2286
Mallorie Waber,New Zealand,After Nines,2022-05-04,228,483.0,AUD,21.2763,10276.4529
Roddy Speechley,Canada,White Choc,2022-04-05,268,5887.0,CAD,22.5593,132806.5991
Andria Kimpton,India,After Nines,2022-01-17,68,952.0,INR,0.3442,327.6784
Roddy Speechley,India,Spicy Special Slims,2022-03-22,173,10647.0,INR,0.3442,3664.6974
Dotty Strutley,Australia,White Choc,2022-07-05,93,6055.0,AUD,21.2763,128827.9965
Oby Sorrel,Canada,Orange Choco,2022-04-27,338,8757.0,CAD,22.5593,197551.7901
Kaine Padly,Canada,Almond Choco,2022-08-12,73,6055.0,CAD,22.5593,136596.5615
Jan Morforth,UK,Baker's Choco Chips,2022-03-11,251,721.0,GBP,42.0265,30301.106499999998
Jehu Rudeforth,UK,Fruit & Nut Bars,2022-05-13,229,8589.0,GBP,42.0265,360965.6085
Dennison Crosswaite,USA,Smooth Sliky Salty,2022-05-12,91,11781.0,USD,31.1547,367033.5207
Brien Boise,USA,Raspberry Choco,2022-01-12,194,672.0,USD,31.1547,20935.9584
Madelene Upcott,New Zealand,Milk Bars,2022-03-29,403,12558.0,AUD,21.2763,267187.7754
Roddy Speechley,India,50% Dark Bites,2022-03-14,12,8337.0,INR,0.3442,2869.5954
Barr Faughny,New Zealand,99% Dark & Pure,2022-05-24,195,8134.0,AUD,21.2763,173061.42419999998
Dennison Crosswaite,Canada,Organic Choco Syrup,2022-01-28,75,8491.0,CAD,22.5593,191551.01630000002
Beverie Moffet,India,Almond Choco,2022-05-24,96,3066.0,INR,0.3442,1055.3172
Brien Boise,Australia,Peanut Butter Cubes,2022-08-19,205,301.0,AUD,21.2763,6404.1663
Karlen McCaffrey,Australia,Spicy Special Slims,2022-05-17,323,4410.0,AUD,21.2763,93828.483
Jehu Rudeforth,USA,White Choc,2022-06-07,119,6559.0,USD,31.1547,204343.67729999998
Ches Bonnell,Canada,Organic Choco Syrup,2022-07-26,217,574.0,CAD,22.5593,12949.0382
Dotty Strutley,India,Eclairs,2022-07-28,384,2086.0,INR,0.3442,718.0012
Karlen McCaffrey,India,70% Dark Bites,2022-05-23,344,5075.0,INR,0.3442,1746.815
Jehu Rudeforth,UK,Mint Chip Choco,2023-01-04,178,5902.13,GBP,42.0265,248045.866445
Van Tuxwell,India,85% Dark Bars,2023-08-01,100,8074.39,INR,0.3442,2779.205038
Gigi Bohling,India,Peanut Butter Cubes,2023-07-07,100,4666.18,INR,0.3442,1606.0991560000002
Jan Morforth,Australia,Peanut Butter Cubes,2023-04-27,350,14103.4,AUD,21.2763,300068.16942
Jehu Rudeforth,UK,Peanut Butter Cubes,2023-02-24,178,14167.84,GBP,42.0265,595424.72776
Van Tuxwell,India,Smooth Sliky Salty,2023-06-06,37,5768.75,INR,0.3442,1985.60375
Oby Sorrel,UK,99% Dark & Pure,2023-01-25,175,14673.2,GBP,42.0265,616663.2398
Gunar Cockshoot,Australia,After Nines,2023-03-24,78,3249.23,AUD,21.2763,69131.592249
Jehu Rudeforth,New Zealand,50% Dark Bites,2023-04-20,64,4526.24,AUD,21.2763,96301.640112
Brien Boise,Australia,99% Dark & Pure,2023-07-04,98,3166.56,AUD,21.2763,67372.680528
Rafaelita Blaksland,UK,Smooth Sliky Salty,2023-01-13,65,4866.39,GBP,42.0265,204517.339335
Barr Faughny,USA,Orange Choco,2023-03-10,12,4254.37,USD,31.1547,132543.621039
Mallorie Waber,Canada,Eclairs,2023-01-13,277,1652.61,CAD,22.5593,37281.724773
Karlen McCaffrey,New Zealand,Drinking Coco,2023-07-28,163,171.49,AUD,21.2763,3648.672687
Marney O'Breen,New Zealand,Peanut Butter Cubes,2023-08-03,169,8549.84,AUD,21.2763,181908.960792
Beverie Moffet,Australia,Organic Choco Syrup,2023-01-26,355,7807.74,AUD,21.2763,166119.818562
Van Tuxwell,Canada,Organic Choco Syrup,2023-02-14,44,4561.43,CAD,22.5593,102902.667799
Roddy Speechley,USA,Smooth Sliky Salty,2023-04-05,148,3041.12,USD,31.1547,94745.18126399998
Beverie Moffet,Canada,Milk Bars,2023-02-16,248,9786.09,CAD,22.5593,220767.34013700002
Curtice Advani,UK,85% Dark Bars,2023-06-08,175,1131.25,GBP,42.0265,47542.478125
Brien Boise,Australia,Eclairs,2023-06-27,94,7484.07,AUD,21.2763,159233.318541
Gunar Cockshoot,USA,Spicy Special Slims,2023-02-17,166,1339.61,USD,31.1547,41735.147667
Marney O'Breen,USA,After Nines,2023-05-30,159,5481.18,USD,31.1547,170764.518546
